playerID,sportCode,team_id,team_abbrev,team_name,positionCode,firstName,lastName,dateOfBirth,height,weight,number,college,birthCountry,birthCityState,draftYear,playerID,totalGoals,assists,saves
337306,FIF,624,ALG,Algeria,M,Farès,Chaïbi,2002-11-28,"6' 0""",150.0,10,NULL,Algeria,NULL,NULL,337306,0,0,0
341720,FIF,624,ALG,Algeria,M,Yassine,Titraoui,2003-07-26,"5' 7""",152.0,24,NULL,Algeria,NULL,NULL,341720,0,0,0
361212,FIF,624,ALG,Algeria,M,Ibrahim,Maza,2005-11-24,"5' 11""",172.0,22,NULL,Algeria,NULL,NULL,361212,0,0,0
163940,FIF,624,ALG,Algeria,F,Riyad,Mahrez,1991-02-21,"5' 10""",161.0,7,NULL,Algeria,NULL,NULL,163940,2,1,0
259743,FIF,624,ALG,Algeria,F,Amine,Gouiri,2000-02-16,"5' 11""",174.0,9,NULL,Algeria,NULL,NULL,259743,1,0,0
315384,FIF,624,ALG,Algeria,F,Mohamed,Amoura,2000-05-09,"5' 7""",132.0,18,NULL,Algeria,NULL,NULL,315384,0,0,0
341706,FIF,624,ALG,Algeria,F,Adil,Boulbina,2003-05-02,"6' 0""",174.0,20,NULL,Algeria,NULL,NULL,341706,0,0,0
341711,FIF,624,ALG,Algeria,F,Anis,Hadj Moussa,2002-02-11,"5' 9""",163.0,11,NULL,Algeria,NULL,NULL,341711,0,0,0
346186,FIF,624,ALG,Algeria,F,Nadhir,Benbouali,2000-04-17,"6' 3""",185.0,12,NULL,Algeria,NULL,NULL,346186,1,0,0
356536,FIF,624,ALG,Algeria,F,Farès,Ghedjemis,2002-09-06,"6' 0""",181.0,25,NULL,Algeria,NULL,NULL,356536,0,0,0
311743,FIF,202,ARG,Argentina,F,José Manuel,López,2000-12-06,"6' 3""",170.0,21,NULL,Argentina,NULL,NULL,311743,0,1,0
323838,FIF,202,ARG,Argentina,F,Giuliano,Simeone,2002-12-18,"5' 8""",163.0,17,NULL,Argentina,NULL,NULL,323838,0,0,0
158626,FIF,202,ARG,Argentina,G,Emiliano,Martínez,1992-09-02,"6' 5""",214.0,23,NULL,Argentina,NULL,NULL,158626,0,0,20
167192,FIF,202,ARG,Argentina,G,Gerónimo,Rulli,1992-05-20,"6' 2""",174.0,12,NULL,Argentina,NULL,NULL,167192,0,0,0
177927,FIF,202,ARG,Argentina,G,Juan,Musso,1994-05-06,"6' 3""",203.0,1,NULL,Argentina,NULL,NULL,177927,0,0,0
96970,FIF,202,ARG,Argentina,D,Cristian,Romero,1998-04-27,"6' 1""",172.0,13,NULL,Argentina,NULL,NULL,96970,1,0,0
119289,FIF,202,ARG,Argentina,D,Nicolás,Otamendi,1988-02-12,"6' 0""",183.0,19,NULL,Argentina,NULL,NULL,119289,0,0,0
145190,FIF,202,ARG,Argentina,D,Nicolás,Tagliafico,1992-08-31,"5' 8""",141.0,3,NULL,Argentina,NULL,NULL,145190,0,0,0
164826,FIF,202,ARG,Argentina,D,Nahuel,Molina,1998-04-06,"5' 9""",152.0,26,NULL,Argentina,NULL,NULL,164826,0,0,0
228262,FIF,202,ARG,Argentina,D,Gonzalo,Montiel,1997-01-01,"5' 9""",152.0,4,NULL,Argentina,NULL,NULL,228262,0,1,0
233937,FIF,202,ARG,Argentina,D,Lisandro,Martínez,1998-01-18,"5' 9""",172.0,6,NULL,Argentina,NULL,NULL,233937,1,1,0
233945,FIF,202,ARG,Argentina,D,Marcos,Senesi,1997-05-10,"6' 1""",172.0,2,NULL,Argentina,NULL,NULL,233945,0,0,0
249663,FIF,202,ARG,Argentina,D,Facundo,Medina,1999-05-28,"6' 0""",172.0,25,NULL,Argentina,NULL,NULL,249663,0,1,0
153115,FIF,202,ARG,Argentina,M,Leandro,Paredes,1994-06-29,"5' 11""",161.0,5,NULL,Argentina,NULL,NULL,153115,0,0,0
174466,FIF,202,ARG,Argentina,M,Rodrigo,De Paul,1994-05-24,"5' 11""",161.0,7,NULL,Argentina,NULL,NULL,174466,0,1,0
207343,FIF,202,ARG,Argentina,M,Giovani,Lo Celso,1996-04-09,"5' 10""",150.0,11,NULL,Argentina,NULL,NULL,207343,1,0,0
228393,FIF,202,ARG,Argentina,M,Exequiel,Palacios,1998-10-05,"5' 9""",159.0,14,NULL,Argentina,NULL,NULL,228393,0,0,0
249299,FIF,202,ARG,Argentina,M,Alexis,Mac Allister,1998-12-24,"5' 9""",163.0,20,NULL,Argentina,NULL,NULL,249299,1,1,0
277208,FIF,202,ARG,Argentina,M,Thiago,Almada,2001-04-26,"5' 7""",139.0,16,NULL,Argentina,NULL,NULL,277208,0,0,0
285450,FIF,202,ARG,Argentina,M,Enzo,Fernández,2001-01-17,"5' 10""",161.0,24,NULL,Argentina,NULL,NULL,285450,2,0,0
320760,FIF,202,ARG,Argentina,M,Valentín,Barco,2004-07-23,"5' 7""",148.0,8,NULL,Argentina,NULL,NULL,320760,0,0,0
45843,FIF,202,ARG,Argentina,F,Lionel,Messi,1987-06-24,"5' 7""",148.0,10,NULL,Argentina,Rosario,NULL,45843,8,4,0
76017,FIF,202,ARG,Argentina,F,Nico,González,1998-04-06,"5' 11""",170.0,15,NULL,Argentina,NULL,NULL,76017,0,1,0
219713,FIF,202,ARG,Argentina,F,Lautaro,Martínez,1997-08-22,"5' 9""",152.0,22,NULL,Argentina,NULL,NULL,219713,3,1,0
277206,FIF,202,ARG,Argentina,F,Julián,Álvarez,2000-01-31,"5' 7""",157.0,9,NULL,Argentina,NULL,NULL,277206,1,0,0
337970,FIF,202,ARG,Argentina,F,Nico,Paz,2004-09-08,"6' 1""",172.0,18,NULL,Argentina,NULL,NULL,337970,0,0,0
141438,FIF,628,AUS,Australia,G,Mathew,Ryan,1992-04-08,"6' 0""",181.0,1,NULL,Australia,Plumpton,NULL,141438,0,0,0
159494,FIF,628,AUS,Australia,G,Paul,Izzo,1995-01-06,"6' 1""",179.0,12,NULL,Australia,Adelaide,NULL,159494,0,0,0
335240,FIF,628,AUS,Australia,G,Patrick,Beach,2003-08-06,"6' 3""",183.0,18,NULL,Australia,NULL,NULL,335240,0,0,14
159502,FIF,628,AUS,Australia,D,Milos,Degenek,1994-04-28,"6' 2""",181.0,2,NULL,Australia,NULL,NULL,159502,0,0,0
172137,FIF,628,AUS,Australia,D,Jason,Geria,1993-05-10,"6' 0""",163.0,6,NULL,Australia,Canberra,NULL,172137,0,0,0
200414,FIF,628,AUS,Australia,D,Aziz,Behich,1990-12-16,"5' 7""",150.0,16,NULL,Australia,Melbourne,NULL,200414,0,0,0
207350,FIF,628,AUS,Australia,D,Cameron,Burgess,1995-10-21,"6' 4""",203.0,21,NULL,Australia,NULL,NULL,207350,0,0,0
207461,FIF,628,AUS,Australia,D,Harry,Souttar,1998-10-22,"6' 6""",218.0,19,NULL,Australia,NULL,NULL,207461,0,0,0
267053,FIF,628,AUS,Australia,D,Jacob,Italiano,2001-07-30,"5' 10""",159.0,4,NULL,Australia,NULL,NULL,267053,0,0,0
291697,FIF,628,AUS,Australia,D,Kai,Trewin,2001-05-18,"6' 0""",161.0,15,NULL,Australia,NULL,NULL,291697,0,0,0
328541,FIF,628,AUS,Australia,D,Jordan,Bos,2002-10-29,"6' 0""",183.0,5,NULL,Australia,NULL,NULL,328541,0,0,0
332081,FIF,628,AUS,Australia,D,Alessandro,Circati,2003-10-10,"6' 3""",185.0,3,NULL,Australia,NULL,NULL,332081,0,0,0
392320,FIF,628,AUS,Australia,D,Lucas,Herrington,2007-09-05,"6' 4""",174.0,25,NULL,Australia,NULL,NULL,392320,0,0,0
178071,FIF,628,AUS,Australia,M,Jackson,Irvine,1993-03-07,"6' 2""",161.0,22,NULL,Australia,NULL,NULL,178071,0,0,0
181707,FIF,628,AUS,Australia,M,Awer,Mabil,1995-09-15,"5' 10""",161.0,11,NULL,Australia,NULL,NULL,181707,0,0,0
227289,FIF,628,AUS,Australia,M,Ajdin,Hrustic,1996-07-05,"6' 0""",172.0,10,NULL,Australia,NULL,NULL,227289,0,0,0
241031,FIF,628,AUS,Australia,M,Aiden,O'Neill,1998-07-04,"6' 0""",152.0,13,NULL,Australia,NULL,NULL,241031,0,0,0
260643,FIF,628,AUS,Australia,M,Connor,Metcalfe,1999-11-05,"6' 0""",163.0,8,NULL,Australia,NULL,NULL,260643,1,0,0
276917,FIF,628,AUS,Australia,M,Cameron,Devlin,1998-06-07,"5' 7""",150.0,14,NULL,Australia,NULL,NULL,276917,0,0,0
330259,FIF,628,AUS,Australia,M,Cristian,Volpato,2003-11-15,"6' 2""",168.0,20,NULL,Australia,NULL,NULL,330259,0,0,0
403528,FIF,628,AUS,Australia,M,Paul,Okon-Engstler,2005-01-24,"6' 1""",183.0,24,NULL,Australia,NULL,NULL,403528,0,1,0
140994,FIF,628,AUS,Australia,F,Mathew,Leckie,1991-02-04,"5' 11""",172.0,7,NULL,Australia,Melbourne,NULL,140994,0,0,0
302688,FIF,628,AUS,Australia,F,Mohamed,Toure,2004-03-26,"6' 1""",172.0,9,NULL,Australia,NULL,NULL,302688,0,0,0
312261,FIF,628,AUS,Australia,F,Tete,Yengi,2000-11-28,"6' 6""",183.0,26,NULL,Australia,NULL,NULL,312261,0,0,0
318429,FIF,628,AUS,Australia,F,Nishan,Velupillay,2001-05-07,"5' 11""",170.0,23,NULL,Australia,NULL,NULL,318429,0,0,0
328535,FIF,628,AUS,Australia,F,Nestory,Irankunda,2006-02-09,"5' 5""",163.0,17,NULL,Australia,NULL,NULL,328535,1,0,0
195082,FIF,474,AUT,Austria,G,Alexander,Schlager,1996-02-01,"6' 0""",174.0,1,NULL,Austria,NULL,NULL,195082,0,0,13
237966,FIF,474,AUT,Austria,G,Patrick,Pentz,1997-01-02,"6' 0""",179.0,13,NULL,Austria,NULL,NULL,237966,0,0,0
387869,FIF,474,AUT,Austria,G,Florian,Wiegele,2001-03-21,"6' 9""",214.0,12,NULL,Austria,NULL,NULL,387869,0,0,0
118444,FIF,474,AUT,Austria,D,David,Alaba,1992-06-24,"5' 11""",172.0,8,NULL,Austria,NULL,NULL,118444,0,1,0
219316,FIF,474,AUT,Austria,D,Philipp,Lienhart,1996-07-11,"6' 2""",183.0,15,NULL,Austria,NULL,NULL,219316,0,0,0
232477,FIF,474,AUT,Austria,D,Marco,Friedl,1998-03-16,"6' 2""",181.0,23,NULL,Austria,NULL,NULL,232477,0,0,0
238906,FIF,474,AUT,Austria,D,Stefan,Posch,1997-05-14,"6' 3""",181.0,5,NULL,Austria,NULL,NULL,238906,0,0,0
239574,FIF,474,AUT,Austria,D,Phillipp,Mwene,1994-01-29,"5' 7""",146.0,16,NULL,Austria,NULL,NULL,239574,0,0,0
250543,FIF,474,AUT,Austria,D,Kevin,Danso,1998-09-19,"6' 3""",185.0,3,NULL,Austria,NULL,NULL,250543,0,0,0
289942,FIF,474,AUT,Austria,D,Michael,Svoboda,1998-10-15,"6' 5""",190.0,25,NULL,Austria,NULL,NULL,289942,0,0,0
313230,FIF,474,AUT,Austria,D,David,Affengruber,2001-03-19,"6' 1""",172.0,2,NULL,Austria,NULL,NULL,313230,0,0,0
320939,FIF,474,AUT,Austria,D,Alexander,Prass,2001-05-26,"6' 0""",159.0,22,NULL,Austria,NULL,NULL,320939,0,0,0
169189,FIF,474,AUT,Austria,M,Konrad,Laimer,1997-05-27,"5' 11""",159.0,20,NULL,Austria,NULL,NULL,169189,0,1,0
173907,FIF,474,AUT,Austria,M,Marcel,Sabitzer,1994-03-17,"5' 10""",170.0,9,NULL,Austria,NULL,NULL,173907,1,0,0
203868,FIF,474,AUT,Austria,M,Alessandro,Schöpf,1994-02-07,"5' 10""",161.0,26,NULL,Austria,NULL,NULL,203868,0,0,0
219304,FIF,474,AUT,Austria,M,Florian,Grillitsch,1995-08-07,"6' 2""",161.0,10,NULL,Austria,NULL,NULL,219304,0,0,0
238296,FIF,474,AUT,Austria,M,Romano,Schmid,2000-01-27,"5' 6""",150.0,18,NULL,Austria,NULL,NULL,238296,1,0,0
238886,FIF,474,AUT,Austria,M,Xaver,Schlager,1997-09-28,"5' 9""",172.0,4,NULL,Austria,NULL,NULL,238886,0,1,0
294317,FIF,474,AUT,Austria,M,Carney,Chukwuemeka,2003-10-20,"6' 2""",170.0,17,NULL,Austria,NULL,NULL,294317,0,0,0
300095,FIF,474,AUT,Austria,M,Patrick,Wimmer,2001-05-30,"6' 0""",170.0,21,NULL,Austria,NULL,NULL,300095,0,0,0
305956,FIF,474,AUT,Austria,M,Nicolas,Seiwald,2001-05-04,"5' 11""",174.0,6,NULL,Austria,NULL,NULL,305956,0,0,0
333399,FIF,474,AUT,Austria,M,Paul,Wanner,2005-12-23,"6' 1""",163.0,24,NULL,Austria,NULL,NULL,333399,0,0,0
98193,FIF,474,AUT,Austria,F,Marko,Arnautovic,1989-04-19,"6' 4""",192.0,7,NULL,Austria,NULL,NULL,98193,2,0,0
146804,FIF,474,AUT,Austria,F,Michael,Gregoritsch,1994-04-18,"6' 4""",201.0,11,NULL,Austria,NULL,NULL,146804,0,1,0
259131,FIF,474,AUT,Austria,F,Sasa,Kalajdzic,1997-07-07,"6' 7""",196.0,14,NULL,Austria,NULL,NULL,259131,1,0,0
134283,FIF,459,BEL,Belgium,G,Thibaut,Courtois,1992-05-11,"6' 7""",212.0,1,NULL,Belgium,NULL,NULL,134283,0,0,14
301425,FIF,459,BEL,Belgium,G,Senne,Lammens,2002-07-07,"6' 4""",192.0,12,NULL,Belgium,NULL,NULL,301425,0,0,2
332343,FIF,459,BEL,Belgium,G,Mike,Penders,2005-07-31,"6' 7""",227.0,13,NULL,Belgium,NULL,NULL,332343,0,0,0
166473,FIF,459,BEL,Belgium,D,Thomas,Meunier,1991-09-12,"6' 3""",192.0,15,NULL,Belgium,NULL,NULL,166473,0,1,0
191222,FIF,459,BEL,Belgium,D,Brandon,Mechele,1993-01-28,"6' 3""",172.0,4,NULL,Belgium,NULL,NULL,191222,0,0,0
197163,FIF,459,BEL,Belgium,D,Timothy,Castagne,1995-12-05,"6' 1""",174.0,21,NULL,Belgium,NULL,NULL,197163,0,1,0
301327,FIF,459,BEL,Belgium,D,Maxim,De Cuyper,2000-12-22,"6' 0""",157.0,5,NULL,Belgium,NULL,NULL,301327,0,0,0
304222,FIF,459,BEL,Belgium,D,Arthur,Theate,2000-05-25,"6' 1""",172.0,3,NULL,Belgium,NULL,NULL,304222,0,0,0
309570,FIF,459,BEL,Belgium,D,Koni,De Winter,2002-06-12,"6' 3""",172.0,16,NULL,Belgium,NULL,NULL,309570,0,0,0
314473,FIF,459,BEL,Belgium,D,Zeno,Debast,2003-10-24,"6' 3""",163.0,2,NULL,Belgium,NULL,NULL,314473,0,0,0
318577,FIF,459,BEL,Belgium,D,Nathan,Ngoy,2003-06-10,"6' 0""",172.0,25,NULL,Belgium,NULL,NULL,318577,0,0,0
363068,FIF,459,BEL,Belgium,D,Joaquin,Seys,2005-03-28,"5' 10""",157.0,18,NULL,Belgium,NULL,NULL,363068,0,0,0
134947,FIF,459,BEL,Belgium,M,Kevin,De Bruyne,1991-06-28,"5' 11""",172.0,7,NULL,Belgium,NULL,NULL,134947,1,0,0
164895,FIF,459,BEL,Belgium,M,Axel,Witsel,1989-01-12,"6' 1""",181.0,6,NULL,Belgium,NULL,NULL,164895,0,0,0
193297,FIF,459,BEL,Belgium,M,Youri,Tielemans,1997-05-07,"5' 9""",159.0,8,NULL,Belgium,NULL,NULL,193297,2,0,0
193849,FIF,459,BEL,Belgium,M,Hans,Vanaken,1992-08-24,"6' 5""",190.0,20,NULL,Belgium,NULL,NULL,193849,1,2,0
260027,FIF,459,BEL,Belgium,M,Nicolas,Raskin,2001-02-23,"5' 10""",168.0,23,NULL,Belgium,NULL,NULL,260027,0,2,0
304799,FIF,459,BEL,Belgium,M,Amadou,Onana,2001-08-16,"6' 5""",168.0,24,NULL,Belgium,NULL,NULL,304799,0,0,0
139437,FIF,459,BEL,Belgium,F,Romelu,Lukaku,1993-05-13,"6' 3""",225.0,9,NULL,Belgium,NULL,NULL,139437,3,1,0
174980,FIF,459,BEL,Belgium,F,Leandro,Trossard,1994-12-04,"5' 8""",141.0,10,NULL,Belgium,NULL,NULL,174980,2,2,0
229443,FIF,459,BEL,Belgium,F,Dodi,Lukébakio,1997-09-24,"6' 2""",170.0,14,NULL,Belgium,NULL,NULL,229443,0,0,0
271132,FIF,459,BEL,Belgium,F,Alexis,Saelemaekers,1999-06-27,"5' 11""",159.0,22,NULL,Belgium,NULL,NULL,271132,1,0,0
283672,FIF,459,BEL,Belgium,F,Jérémy,Doku,2002-05-27,"5' 8""",181.0,11,NULL,Belgium,NULL,NULL,283672,0,0,0
296319,FIF,459,BEL,Belgium,F,Charles,De Ketelaere,2001-03-10,"6' 4""",183.0,17,NULL,Belgium,NULL,NULL,296319,3,1,0
340678,FIF,459,BEL,Belgium,F,Diego,Moreira,2004-08-06,"5' 10""",161.0,19,NULL,Belgium,NULL,NULL,340678,0,0,0
359651,FIF,459,BEL,Belgium,F,Matias,Fernandez-Pardo,2005-02-03,"6' 0""",190.0,26,NULL,Belgium,NULL,NULL,359651,0,0,0
79941,FIF,452,BIH,Bosnia-Herzegovina,G,Nikola,Vasilj,1995-12-02,"6' 4""",190.0,1,NULL,Bosnia and Herzegovina,NULL,NULL,79941,0,0,6
258757,FIF,452,BIH,Bosnia-Herzegovina,G,Martin,Zlomislic,1998-08-16,"6' 3""",185.0,22,NULL,Bosnia and Herzegovina,NULL,NULL,258757,0,0,0
401246,FIF,452,BIH,Bosnia-Herzegovina,G,Mladen,Jurkas,2007-10-07,"6' 4""",196.0,12,NULL,Bosnia and Herzegovina,NULL,NULL,401246,0,0,0
170553,FIF,452,BIH,Bosnia-Herzegovina,D,Sead,Kolasinac,1993-06-20,"6' 0""",185.0,5,NULL,Bosnia and Herzegovina,NULL,NULL,170553,0,1,0
220538,FIF,452,BIH,Bosnia-Herzegovina,D,Nikola,Katic,1996-10-10,"6' 4""",196.0,18,NULL,Bosnia and Herzegovina,NULL,NULL,220538,0,0,0
246836,FIF,452,BIH,Bosnia-Herzegovina,D,Dennis,Hadzikadunic,1998-07-09,"6' 3""",179.0,3,NULL,Bosnia and Herzegovina,NULL,NULL,246836,0,1,0
257942,FIF,452,BIH,Bosnia-Herzegovina,D,Nihad,Mujakic,1998-04-15,"6' 2""",172.0,2,NULL,Bosnia and Herzegovina,NULL,NULL,257942,0,0,0
275414,FIF,452,BIH,Bosnia-Herzegovina,D,Stjepan,Radeljic,1997-09-05,"6' 7""",192.0,21,NULL,Bosnia and Herzegovina,NULL,NULL,275414,0,0,0
308979,FIF,452,BIH,Bosnia-Herzegovina,D,Amar,Dedic,2002-08-18,"5' 11""",161.0,7,NULL,Bosnia and Herzegovina,NULL,NULL,308979,0,0,0
318390,FIF,452,BIH,Bosnia-Herzegovina,D,Tarik,Muharemovic,2003-02-28,"6' 4""",183.0,4,NULL,Bosnia and Herzegovina,NULL,NULL,318390,0,0,0
387044,FIF,452,BIH,Bosnia-Herzegovina,D,Nidal,Celik,2006-07-17,"6' 4""",183.0,24,NULL,Bosnia and Herzegovina,NULL,NULL,387044,NULL,NULL,NULL
194767,FIF,452,BIH,Bosnia-Herzegovina,M,Ivan,Sunjic,1996-10-09,"6' 1""",152.0,14,NULL,Bosnia and Herzegovina,NULL,NULL,194767,0,0,0
221961,FIF,452,BIH,Bosnia-Herzegovina,M,Amir,Hadziahmetovic,1997-03-08,"5' 10""",157.0,16,NULL,Bosnia and Herzegovina,NULL,NULL,221961,0,0,0
225571,FIF,452,BIH,Bosnia-Herzegovina,M,Dzenis,Burnic,1998-05-22,"5' 11""",161.0,17,NULL,Bosnia and Herzegovina,NULL,NULL,225571,0,0,0
288932,FIF,452,BIH,Bosnia-Herzegovina,M,Armin,Gigovic,2002-04-06,"6' 2""",172.0,8,NULL,Bosnia and Herzegovina,NULL,NULL,288932,0,0,0
306256,FIF,452,BIH,Bosnia-Herzegovina,M,Ivan,Basic,2002-04-30,"5' 10""",163.0,13,NULL,Bosnia and Herzegovina,NULL,NULL,306256,0,1,0
338199,FIF,452,BIH,Bosnia-Herzegovina,M,Amar,Memic,2001-01-20,"5' 9""",159.0,15,NULL,Bosnia and Herzegovina,NULL,NULL,338199,0,0,0
352660,FIF,452,BIH,Bosnia-Herzegovina,M,Benjamin,Tahirovic,2003-03-03,"6' 4""",183.0,6,NULL,Bosnia and Herzegovina,NULL,NULL,352660,0,0,0
414676,FIF,452,BIH,Bosnia-Herzegovina,M,Ermin,Mahmic,2005-03-14,"6' 0""",179.0,26,NULL,Bosnia and Herzegovina,NULL,NULL,414676,2,0,0
102337,FIF,452,BIH,Bosnia-Herzegovina,F,Edin,Dzeko,1986-03-17,"6' 4""",174.0,11,NULL,Bosnia and Herzegovina,NULL,NULL,102337,0,0,0
184869,FIF,452,BIH,Bosnia-Herzegovina,F,Haris,Tabakovic,1994-06-20,"6' 5""",196.0,23,NULL,Bosnia and Herzegovina,NULL,NULL,184869,0,0,0
269136,FIF,452,BIH,Bosnia-Herzegovina,F,Ermedin,Demirovic,1998-03-25,"6' 1""",183.0,10,NULL,Bosnia and Herzegovina,NULL,NULL,269136,0,0,0
305118,FIF,452,BIH,Bosnia-Herzegovina,F,Jovo,Lukic,1998-11-28,"6' 3""",174.0,25,NULL,Bosnia and Herzegovina,NULL,NULL,305118,1,0,0
322244,FIF,452,BIH,Bosnia-Herzegovina,F,Samed,Bazdar,2004-01-31,"6' 2""",174.0,9,NULL,Bosnia and Herzegovina,NULL,NULL,322244,0,0,0
325410,FIF,452,BIH,Bosnia-Herzegovina,F,Esmir,Bajraktarevic,2005-03-10,"5' 9""",139.0,20,NULL,Bosnia and Herzegovina,NULL,NULL,325410,0,0,0
391034,FIF,452,BIH,Bosnia-Herzegovina,F,Kerim,Alajbegovic,2007-09-21,"6' 1""",168.0,19,NULL,Bosnia and Herzegovina,NULL,NULL,391034,1,0,0
176948,FIF,205,BRA,Brazil,G,Ederson,,1993-08-17,"6' 2""",196.0,23,NULL,Brazil,NULL,NULL,176948,0,0,0
196876,FIF,205,BRA,Brazil,G,Alisson,Becker,1992-10-02,"6' 4""",201.0,1,NULL,Brazil,NULL,NULL,196876,0,0,14
198983,FIF,205,BRA,Brazil,G,Weverton,,1987-12-13,"6' 2""",183.0,12,NULL,Brazil,NULL,NULL,198983,0,0,0
125514,FIF,205,BRA,Brazil,D,Alex Sandro,,1991-01-26,"5' 11""",181.0,6,NULL,Brazil,NULL,NULL,125514,0,0,0
145405,FIF,205,BRA,Brazil,D,Léo,Pereira,1996-01-31,"6' 2""",174.0,15,NULL,Brazil,NULL,NULL,145405,0,0,0
159047,FIF,205,BRA,Brazil,D,Marquinhos,,1994-05-14,"6' 0""",172.0,4,NULL,Brazil,NULL,NULL,159047,0,0,0
170369,FIF,205,BRA,Brazil,D,Danilo,,1991-07-15,"6' 0""",183.0,13,NULL,Brazil,Campinas,NULL,170369,0,0,0
186575,FIF,205,BRA,Brazil,D,Douglas,Santos,1994-03-22,"5' 8""",150.0,16,NULL,Brazil,NULL,NULL,186575,0,0,0
236322,FIF,205,BRA,Brazil,D,Gabriel,Magalhães,1997-12-19,"6' 3""",203.0,3,NULL,Brazil,NULL,NULL,236322,0,1,0
258307,FIF,205,BRA,Brazil,D,Bremer,,1997-03-18,"6' 2""",192.0,14,NULL,Brazil,NULL,NULL,258307,0,0,0
259835,FIF,205,BRA,Brazil,D,Roger,Ibañez,1998-11-23,"6' 1""",174.0,24,NULL,Brazil,NULL,NULL,259835,0,0,0
173666,FIF,205,BRA,Brazil,M,Casemiro,,1992-02-23,"6' 1""",183.0,5,NULL,Brazil,NULL,NULL,173666,1,0,0
176287,FIF,205,BRA,Brazil,M,Fabinho,,1993-10-23,"6' 2""",172.0,17,NULL,Brazil,NULL,NULL,176287,0,0,0
218522,FIF,205,BRA,Brazil,M,Bruno,Guimarães,1997-11-16,"6' 0""",172.0,8,NULL,Brazil,NULL,NULL,218522,0,4,0
234715,FIF,205,BRA,Brazil,M,Lucas,Paquetá,1997-08-27,"6' 0""",161.0,20,NULL,Brazil,NULL,NULL,234715,0,1,0
278210,FIF,205,BRA,Brazil,M,Éderson,,1999-07-07,"6' 0""",183.0,2,NULL,Brazil,NULL,NULL,278210,0,0,0
306764,FIF,205,BRA,Brazil,M,Danilo,Santos,2001-04-29,"5' 10""",152.0,18,NULL,Brazil,NULL,NULL,306764,0,0,0
132948,FIF,205,BRA,Brazil,F,Neymar,,1992-02-05,"5' 9""",161.0,10,NULL,Brazil,NULL,NULL,132948,1,0,0
231050,FIF,205,BRA,Brazil,F,Raphinha,,1996-12-14,"5' 9""",139.0,11,NULL,Brazil,NULL,NULL,231050,0,0,0
252107,FIF,205,BRA,Brazil,F,Vinícius Júnior,,2000-07-12,"5' 9""",170.0,7,NULL,Brazil,NULL,NULL,252107,4,1,0
259902,FIF,205,BRA,Brazil,F,Matheus,Cunha,1999-05-27,"6' 0""",168.0,9,NULL,Brazil,NULL,NULL,259902,3,0,0
