playerID,sportCode,team_id,team_abbrev,team_name,positionCode,firstName,lastName,dateOfBirth,height,weight,number,college,birthCountry,birthCityState,draftYear,playerID,pointsPerGame,reboundsPerGame,assistsPerGame
3137259,NBA,1,ATL,Hawks,G,Gabe,Vincent,1996-06-14,"6' 2""",200.0,4,UC Santa Barbara,USA,"Modesto, CA",2019,3137259,NULL,NULL,NULL
4279118,NBA,1,ATL,Hawks,G,Keaton,Wallace,1999-02-26,"6' 3""",185.0,2,UTSA,USA,"Dallas, TX",2024,4279118,NULL,NULL,NULL
4397183,NBA,1,ATL,Hawks,G,Aaron,Wiggins,1999-01-02,"6' 5""",190.0,21,Maryland,USA,"Greensboro, NC",2021,4397183,NULL,NULL,NULL
4397885,NBA,2,BOS,Celtics,F,Dalano,Banton,1999-11-07,"6' 8""",203.0,45,Nebraska,Canada,"Toronto, ON",2021,4397885,NULL,NULL,NULL
5142621,NBA,2,BOS,Celtics,F,Chris,Cenac Jr.,2007-02-01,"6' 11""",240.0,NULL,Houston,USA,"New Orleans, LA",2026,5142621,NULL,NULL,NULL
3195,NBA,2,BOS,Celtics,G,Mike,Conley,1987-10-11,"6' 1""",175.0,NULL,Ohio State,USA,"Indianapolis, IN",2007,3195,NULL,NULL,NULL
4277951,NBA,2,BOS,Celtics,C,Luka,Garza,1998-12-27,"6' 10""",243.0,52,Iowa,USA,"Washington, DC",2021,4277951,NULL,NULL,NULL
4251,NBA,2,BOS,Celtics,F,Paul,George,1990-05-02,"6' 8""",220.0,8,Fresno State,USA,"Palmdale, CA",2010,4251,NULL,NULL,NULL
5175647,NBA,2,BOS,Celtics,G,Hugo,Gonzalez,2006-02-05,"6' 6""",205.0,28,NULL,NULL,NULL,2025,5175647,NULL,NULL,NULL
4397251,NBA,2,BOS,Celtics,G,Ron,Harper Jr.,2000-04-12,"6' 5""",233.0,13,Rutgers,USA,"Franklin Lakes, NJ",2022,4397251,NULL,NULL,NULL
4065804,NBA,2,BOS,Celtics,F,Sam,Hauser,1997-12-08,"6' 7""",217.0,30,Virginia,USA,"Stevens Point, WI",2021,4065804,NULL,NULL,NULL
5106283,NBA,2,BOS,Celtics,F,Dillon,Mitchell,2003-10-03,"6' 8""",210.0,NULL,St. John's,USA,"Tampa, FL",2026,5106283,NULL,NULL,NULL
4066354,NBA,2,BOS,Celtics,G,Payton,Pritchard,1998-01-28,"6' 1""",195.0,11,Oregon,USA,"West Linn, OR",2020,4066354,NULL,NULL,NULL
4397424,NBA,2,BOS,Celtics,C,Neemias,Queta,1999-07-13,"7' 0""",248.0,88,Utah State,Portugal,Barreiro,2021,4397424,NULL,NULL,NULL
4351852,NBA,2,BOS,Celtics,C,Mitchell,Robinson,1998-04-01,"7' 0""",240.0,NULL,NULL,USA,"Pensacola, FL",2018,4351852,NULL,NULL,NULL
4593841,NBA,2,BOS,Celtics,G,Baylor,Scheierman,2000-09-26,"6' 6""",205.0,55,Creighton,USA,"Aurora, NE",2024,4593841,NULL,NULL,NULL
4065648,NBA,2,BOS,Celtics,F,Jayson,Tatum,1998-03-03,"6' 8""",210.0,0,Duke,USA,"Saint Louis, MO",2017,4065648,NULL,NULL,NULL
4593043,NBA,2,BOS,Celtics,G,John,Tonje,2001-04-23,"6' 5""",225.0,8,Wisconsin,USA,"Omaha, NE",2025,4593043,NULL,NULL,NULL
4683689,NBA,2,BOS,Celtics,G,Jordan,Walsh,2004-03-03,"6' 6""",205.0,27,Arkansas,USA,"Desoto, TX",2023,4683689,NULL,NULL,NULL
3078576,NBA,2,BOS,Celtics,G,Derrick,White,1994-07-02,"6' 4""",190.0,9,Colorado,USA,"Parker, CO",2017,3078576,NULL,NULL,NULL
4702745,NBA,2,BOS,Celtics,F,Amari,Williams,2002-01-28,"7' 0""",262.0,77,Kentucky,England,Nottingham,2025,4702745,NULL,NULL,NULL
5105626,NBA,17,BKN,Nets,F,Tyler,Bilodeau,2004-04-17,"6' 8""",228.0,34,UCLA,USA,"Kennewick, WA",2026,5105626,NULL,NULL,NULL
5101761,NBA,17,BKN,Nets,G,Mikel,Brown Jr.,2006-04-03,"6' 5""",180.0,0,Louisville,USA,"Orlando, FL",2026,5101761,NULL,NULL,NULL
4712896,NBA,17,BKN,Nets,F,Noah,Clowney,2004-07-14,"6' 10""",210.0,21,Alabama,USA,"Roebuck, SC",2023,4712896,NULL,NULL,NULL
5175643,NBA,17,BKN,Nets,G,Egor,Demin,2006-03-03,"6' 8""",200.0,8,BYU,Russia,Moscow,2025,5175643,NULL,NULL,NULL
4702177,NBA,17,BKN,Nets,G,Keon,Ellis,2000-01-08,"6' 4""",175.0,NULL,Alabama,USA,"Eustis, FL",2022,4702177,NULL,NULL,NULL
4432887,NBA,17,BKN,Nets,G,Tyson,Etienne,1999-09-17,"6' 0""",200.0,10,Wichita State,USA,"Englewood, NJ",2024,4432887,NULL,NULL,NULL
4870564,NBA,17,BKN,Nets,F,Joshua,Jefferson,2003-11-21,"6' 8""",246.0,NULL,Iowa State,USA,"Las Vegas, NV",2026,4870564,NULL,NULL,NULL
5174655,NBA,17,BKN,Nets,F,Chaney,Johnson,2002-06-20,"6' 8""",225.0,31,Auburn,USA,"Alabaster, AL",2025,5174655,NULL,NULL,NULL
4432821,NBA,17,BKN,Nets,F,E.J.,Liddell,2000-12-18,"6' 6""",240.0,9,Ohio State,USA,"Belleville, IL",2023,4432821,NULL,NULL,NULL
3907823,NBA,17,BKN,Nets,G,Terance,Mann,1996-10-18,"6' 6""",215.0,14,Florida State,USA,"Brooklyn, NY",2019,3907823,NULL,NULL,NULL
4687718,NBA,17,BKN,Nets,F,Josh,Minott,2002-11-25,"6' 8""",205.0,00,Memphis,USA,"Boca Raton, FL",2022,4687718,NULL,NULL,NULL
4278104,NBA,17,BKN,Nets,F,Michael,Porter Jr.,1998-06-29,"6' 10""",218.0,17,Missouri,USA,"Columbia, MO",2019,4278104,NULL,NULL,NULL
5037873,NBA,17,BKN,Nets,G,Drake,Powell,2005-09-08,"6' 5""",195.0,4,North Carolina,USA,"Pittsboro, NC",2025,5037873,NULL,NULL,NULL
3064514,NBA,17,BKN,Nets,F,Julius,Randle,1994-11-29,"6' 9""",250.0,30,Kentucky,USA,"Dallas, TX",2014,3064514,NULL,NULL,NULL
5242502,NBA,17,BKN,Nets,G,Ben,Saraf,2006-04-14,"6' 6""",200.0,77,NULL,NULL,NULL,2025,5242502,NULL,NULL,NULL
4432194,NBA,17,BKN,Nets,C,Day'Ron,Sharpe,2001-11-06,"6' 10""",265.0,20,North Carolina,USA,"Greenville, NC",2021,4432194,NULL,NULL,NULL
4397784,NBA,17,BKN,Nets,G,Malachi,Smith,1999-12-06,"6' 4""",205.0,18,Gonzaga,USA,"Belleville, IL",2025,4397784,NULL,NULL,NULL
5279130,NBA,17,BKN,Nets,G,Nolan,Traore,2006-05-28,"6' 3""",185.0,13,NULL,France,Creteil,2025,5279130,NULL,NULL,NULL
3150844,NBA,17,BKN,Nets,F,Moritz,Wagner,1997-04-26,"6' 11""",245.0,NULL,Michigan,Germany,Berlin,2018,3150844,NULL,NULL,NULL
4433137,NBA,17,BKN,Nets,F,Ziaire,Williams,2001-09-12,"6' 9""",185.0,1,Stanford,USA,"Lancaster, CA",2021,4433137,NULL,NULL,NULL
4431714,NBA,17,BKN,Nets,F,Jalen,Wilson,2000-11-04,"6' 6""",220.0,22,Kansas,USA,"Denton, TX",2023,4431714,NULL,NULL,NULL
5107173,NBA,17,BKN,Nets,F,Danny,Wolf,2004-05-05,"6' 11""",250.0,2,Michigan,USA,"Glencoe, IL",2025,5107173,NULL,NULL,NULL
3135045,NBA,30,CHA,Hornets,G,Grayson,Allen,1995-10-08,"6' 3""",198.0,NULL,Duke,USA,"Jacksonville, FL",2018,3135045,NULL,NULL,NULL
5060701,NBA,30,CHA,Hornets,G,Christian,Anderson,2006-04-02,"6' 1""",180.0,NULL,Texas Tech,USA,"Atlanta, GA",2026,5060701,NULL,NULL,NULL
2578239,NBA,30,CHA,Hornets,G,Pat,Connaughton,1993-01-06,"6' 5""",209.0,21,Notre Dame,USA,"Arlington, MA",2015,2578239,NULL,NULL,NULL
4433249,NBA,30,CHA,Hornets,F,Moussa,Diabate,2002-01-21,"6' 10""",210.0,14,Michigan,France,Paris,2022,4433249,NULL,NULL,NULL
2578185,NBA,30,CHA,Hornets,F,Dorian,Finney-Smith,1993-05-04,"6' 7""",220.0,NULL,Florida,USA,"Portsmouth, VA",2016,2578185,NULL,NULL,NULL
4701225,NBA,30,CHA,Hornets,C,PJ,Hall,2002-02-21,"6' 8""",245.0,16,Clemson,USA,"Spartanburg, SC",2024,4701225,NULL,NULL,NULL
4602025,NBA,30,CHA,Hornets,G,Sion,James,2002-12-04,"6' 5""",220.0,4,Duke,USA,"Sugar Hill, GA",2025,4602025,NULL,NULL,NULL
4576060,NBA,30,CHA,Hornets,C,Ryan,Kalkbrenner,2002-01-17,"7' 1""",256.0,11,Creighton,USA,"Florissant, MO",2025,4576060,NULL,NULL,NULL
5061575,NBA,30,CHA,Hornets,G,Kon,Knueppel,2005-08-03,"6' 6""",215.0,7,Duke,USA,"Milwaukee, WI",2025,5061575,NULL,NULL,NULL
4432819,NBA,30,CHA,Hornets,G,Tre,Mann,2001-02-03,"6' 4""",178.0,23,Florida,USA,"Gainesville, FL",2021,4432819,NULL,NULL,NULL
5239590,NBA,30,CHA,Hornets,G,Liam,McNeeley,2005-10-10,"6' 7""",210.0,33,UConn,USA,"Richardson, TX",2025,5239590,NULL,NULL,NULL
4433287,NBA,30,CHA,Hornets,F,Brandon,Miller,2002-11-22,"6' 7""",200.0,24,Alabama,USA,"Antioch, TN",2023,4433287,NULL,NULL,NULL
2583632,NBA,30,CHA,Hornets,F,Royce,O'Neale,1993-06-05,"6' 6""",226.0,NULL,Baylor,USA,"Killeen, TX",2017,2583632,NULL,NULL,NULL
4396971,NBA,30,CHA,Hornets,C,Naz,Reid,1999-08-26,"6' 9""",264.0,NULL,LSU,USA,"Asbury Park, NJ",2019,4396971,NULL,NULL,NULL
5211176,NBA,30,CHA,Hornets,F,Tidjane,Salaun,2005-08-10,"6' 10""",207.0,31,NULL,NULL,NULL,2024,5211176,NULL,NULL,NULL
5281370,NBA,30,CHA,Hornets,F,Hannes,Steinbach,2006-05-01,"6' 10""",248.0,NULL,Washington,Germany,Wurzburg,2026,5281370,NULL,NULL,NULL
4277964,NBA,30,CHA,Hornets,F,Xavier,Tillman,1999-01-12,"6' 8""",245.0,26,Michigan State,USA,"Grand Rapids, MI",2020,4277964,NULL,NULL,NULL
4395651,NBA,30,CHA,Hornets,G,Coby,White,2000-02-16,"6' 4""",195.0,3,North Carolina,USA,"Goldsboro, NC",2019,4395651,NULL,NULL,NULL
4066218,NBA,30,CHA,Hornets,F,Grant,Williams,1998-11-30,"6' 7""",236.0,2,Tennessee,USA,"Charlotte, NC",2019,4066218,NULL,NULL,NULL
5105555,NBA,4,CHI,Bulls,F,Tobe,Awaka,2004-01-30,"6' 8""",255.0,NULL,Arizona,USA,"Hyde Park, NY",2026,5105555,NULL,NULL,NULL
4711294,NBA,4,CHI,Bulls,F,Matas,Buzelis,2004-10-13,"6' 8""",209.0,14,NULL,NULL,NULL,2025,4711294,NULL,NULL,NULL
4278067,NBA,4,CHI,Bulls,C,Nic,Claxton,1999-04-17,"6' 11""",215.0,33,Georgia,USA,"Greenville, SC",2019,4278067,NULL,NULL,NULL
4066650,NBA,4,CHI,Bulls,F,Zach,Collins,1997-11-19,"6' 9""",250.0,12,Gonzaga,USA,"Las Vegas, NV",2017,4066650,NULL,NULL,NULL
4684275,NBA,4,CHI,Bulls,G,Rob,Dillingham,2005-01-04,"6' 2""",175.0,7,Kentucky,USA,"Hickory, NC",2025,4684275,NULL,NULL,NULL
5242496,NBA,4,CHI,Bulls,F,Noa,Essengue,2006-12-18,"6' 11""",206.0,24,NULL,NULL,NULL,2026,5242496,NULL,NULL,NULL
4871145,NBA,4,CHI,Bulls,G,Josh,Giddey,2002-10-10,"6' 7""",216.0,3,NULL,NULL,NULL,2022,4871145,NULL,NULL,NULL
4592933,NBA,4,CHI,Bulls,F,Mouhamadou,Gueye,1998-07-06,"6' 9""",210.0,16,Pittsburgh,USA,"Staten Island, NY",2025,4592933,NULL,NULL,NULL
4395626,NBA,4,CHI,Bulls,G,Tre,Jones,2000-01-08,"6' 1""",185.0,30,Duke,USA,"Apple Valley, MN",2020,4395626,NULL,NULL,NULL
4397071,NBA,4,CHI,Bulls,G,Mac,McClung,1999-01-06,"6' 2""",185.0,5,Texas Tech,USA,"Gate City, VA",2023,4397071,NULL,NULL,NULL
5044385,NBA,4,CHI,Bulls,F,Leonard,Miller,2003-11-26,"6' 10""",220.0,11,NULL,Canada,"Thornhill, ON",2024,5044385,NULL,NULL,NULL
4432822,NBA,4,CHI,Bulls,F,Isaac,Okoro,2001-01-26,"6' 4""",225.0,35,Auburn,USA,"Powder Springs, GA",2020,4432822,NULL,NULL,NULL
2595516,NBA,4,CHI,Bulls,G,Norman,Powell,1993-05-25,"6' 4""",215.0,NULL,UCLA,USA,"San Diego, CA",2015,2595516,NULL,NULL,NULL
4278076,NBA,4,CHI,Bulls,C,Nick,Richards,1997-11-29,"6' 11""",245.0,13,Kentucky,Jamaica,Kingston,2020,4278076,NULL,NULL,NULL
4397189,NBA,4,CHI,Bulls,F,Jalen,Smith,2000-03-16,"6' 8""",215.0,25,Maryland,USA,"Baltimore, MD",2020,4397189,NULL,NULL,NULL
4848625,NBA,4,CHI,Bulls,G,Dailyn,Swain,2005-07-15,"6' 7""",211.0,5,Texas,USA,"Columbus, OH",2026,4848625,NULL,NULL,NULL
4431687,NBA,4,CHI,Bulls,F,Patrick,Williams,2001-08-26,"6' 6""",215.0,44,Florida State,USA,"Charlotte, NC",2020,4431687,NULL,NULL,NULL
5095151,NBA,4,CHI,Bulls,F,Caleb,Wilson,2006-07-18,"6' 9""",211.0,8,North Carolina,USA,"Atlanta, GA",2026,5095151,NULL,NULL,NULL
4017844,NBA,4,CHI,Bulls,F,Guerschon,Yabusele,1995-12-17,"6' 7""",265.0,28,NULL,France,Versailles,2017,4017844,NULL,NULL,NULL
4066328,NBA,5,CLE,Cavaliers,C,Jarrett,Allen,1998-04-21,"6' 9""",243.0,31,Texas,USA,"Round Rock, TX",2018,4066328,NULL,NULL,NULL
3934723,NBA,5,CLE,Cavaliers,C,Thomas,Bryant,1997-07-31,"6' 9""",248.0,3,Indiana,USA,"Rochester, NY",2017,3934723,NULL,NULL,NULL
4431734,NBA,5,CLE,Cavaliers,F,Tristan,Enaruna,2001-06-26,"6' 8""",220.0,21,Cleveland State,Netherlands,Almere,2026,4431734,NULL,NULL,NULL
3992,NBA,5,CLE,Cavaliers,G,James,Harden,1989-08-26,"6' 5""",220.0,1,Arizona State,USA,"Los Angeles, CA",2009,3992,NULL,NULL,NULL
4066757,NBA,5,CLE,Cavaliers,G,Sam,Merrill,1996-05-15,"6' 4""",205.0,5,Utah State,USA,"Bountiful, UT",2020,4066757,NULL,NULL,NULL
5177362,NBA,5,CLE,Cavaliers,F,Riley,Minix,2000-09-22,"6' 7""",230.0,12,Morehead State,USA,"Vero Beach, FL",2025,5177362,NULL,NULL,NULL
3908809,NBA,5,CLE,Cavaliers,G,Donovan,Mitchell,1996-09-07,"6' 2""",215.0,45,Louisville,USA,"Greenwich, CT",2017,3908809,NULL,NULL,NULL
4432158,NBA,5,CLE,Cavaliers,C,Evan,Mobley,2001-06-18,"6' 11""",215.0,4,USC,USA,"Murrieta, CA",2022,4432158,NULL,NULL,NULL
4701233,NBA,5,CLE,Cavaliers,G,Craig,Porter Jr.,2000-02-26,"6' 1""",180.0,9,Wichita State,USA,"Terre Haute, IN",2024,4701233,NULL,NULL,NULL
5023693,NBA,5,CLE,Cavaliers,G,Tyrese,Proctor,2004-04-01,"6' 4""",185.0,24,Duke,Australia,"Sydney, NSW",2026,5023693,NULL,NULL,NULL
4278046,NBA,5,CLE,Cavaliers,F,Olivier,Sarr,1999-02-20,"6' 10""",240.0,33,Kentucky,France,Bordeaux,2023,4278046,NULL,NULL,NULL
3032979,NBA,5,CLE,Cavaliers,G,Dennis,Schroder,1993-09-15,"6' 1""",175.0,8,NULL,Germany,Braunschweig,2013,3032979,NULL,NULL,NULL
4065778,NBA,5,CLE,Cavaliers,G,Max,Strus,1996-03-28,"6' 5""",215.0,2,DePaul,USA,"Hickory Hills, IL",2019,4065778,NULL,NULL,NULL
5041951,NBA,5,CLE,Cavaliers,G,Meleek,Thomas,2006-08-06,"6' 3""",190.0,NULL,Arkansas,USA,"Pittsburgh, PA",2026,5041951,NULL,NULL,NULL
5106268,NBA,5,CLE,Cavaliers,F,Nae'Qwan,Tomlin,2000-12-19,"6' 8""",210.0,35,Memphis,USA,"Harlem, NY",2025,5106268,NULL,NULL,NULL
4683747,NBA,5,CLE,Cavaliers,G,Jaylon,Tyson,2002-12-02,"6' 6""",215.0,20,California,USA,"Plano, TX",2025,4683747,NULL,NULL,NULL
5106261,NBA,5,CLE,Cavaliers,C,Ernest,Udeh Jr.,2004-01-08,"6' 11""",266.0,NULL,Miami,USA,"Orlando, FL",2026,5106261,NULL,NULL,NULL
4593125,NBA,6,DAL,Mavericks,F,Santi,Aldama,2001-01-10,"7' 0""",215.0,NULL,Loyola Maryland,Spain,Las Palmas De Gas,2022,4593125,NULL,NULL,NULL
4432582,NBA,6,DAL,Mavericks,G,Max,Christie,2003-02-10,"6' 5""",190.0,00,Michigan State,USA,"Arlington Heights, IL",2023,4432582,NULL,NULL,NULL
4701208,NBA,6,DAL,Mavericks,C,Moussa,Cisse,2002-09-10,"6' 11""",220.0,30,Memphis,Guinea,Conakry,2026,4701208,NULL,NULL,NULL
5279129,NBA,6,DAL,Mavericks,F,Sergio,de Larrea,2005-12-04,"6' 7""",202.0,NULL,NULL,Spain,Valladolid,2026,5279129,NULL,NULL,NULL
5041939,NBA,6,DAL,Mavericks,F,Cooper,Flagg,2006-12-21,"6' 9""",205.0,32,Duke,USA,"Newport, ME",2026,5041939,NULL,NULL,NULL
4278049,NBA,6,DAL,Mavericks,F,Daniel,Gafford,1998-10-01,"6' 10""",265.0,21,Arkansas,USA,"El Dorado, AR",2019,4278049,NULL,NULL,NULL
6442,NBA,6,DAL,Mavericks,G,Kyrie,Irving,1992-03-23,"6' 2""",195.0,11,Duke,Australia,"Melbourne, VIC",2011,6442,NULL,NULL,NULL
5358755,NBA,6,DAL,Mavericks,G,Vsevolod,Ishchenko,2005-02-10,"6' 8""",218.0,NULL,NULL,Russia,Rostov-on-Don,2026,5358755,NULL,NULL,NULL
4873153,NBA,6,DAL,Mavericks,F,Morez,Johnson Jr.,2006-01-25,"6' 9""",250.0,NULL,Michigan,USA,"Riverdale, IL",2026,4873153,NULL,NULL,NULL
5106040,NBA,6,DAL,Mavericks,F,Tobi,Lawal,2003-05-01,"6' 8""",215.0,NULL,Virginia Tech,England,London,2026,5106040,NULL,NULL,NULL
4683688,NBA,6,DAL,Mavericks,C,Dereck,Lively II,2004-02-12,"7' 1""",230.0,2,Duke,USA,"Philadelphia, PA",2024,4683688,NULL,NULL,NULL
4278594,NBA,6,DAL,Mavericks,F,Naji,Marshall,1998-01-24,"6' 6""",220.0,13,Xavier,USA,"Atlantic City, NJ",2020,4278594,NULL,NULL,NULL
3138160,NBA,6,DAL,Mavericks,F,Caleb,Martin,1995-09-28,"6' 5""",205.0,16,Nevada,USA,"Mocksville, NC",2019,3138160,NULL,NULL,NULL
4433629,NBA,6,DAL,Mavericks,G,Ryan,Nembhard,2003-03-10,"5' 11""",180.0,9,Gonzaga,Canada,"Aurora, ON",2026,4433629,NULL,NULL,NULL
4898238,NBA,6,DAL,Mavericks,G,John,Poulakidas,2003-04-04,"6' 6""",205.0,1,Yale,USA,"Naperville, IL",2026,4898238,NULL,NULL,NULL
2531367,NBA,6,DAL,Mavericks,F,Dwight,Powell,1991-07-20,"6' 10""",240.0,7,Stanford,Canada,"Toronto, ON",2014,2531367,NULL,NULL,NULL
4432107,NBA,6,DAL,Mavericks,G,Marcus,Sasser,2000-09-21,"6' 1""",195.0,25,Houston,USA,"Dallas, TX",2023,4432107,NULL,NULL,NULL
5167876,NBA,6,DAL,Mavericks,F,Tyler,Smith,2004-11-02,"6' 9""",224.0,23,NULL,USA,"Houston, TX",2025,5167876,NULL,NULL,NULL
6475,NBA,6,DAL,Mavericks,G,Klay,Thompson,1990-02-08,"6' 5""",220.0,31,Washington State,USA,"Los Angeles, CA",2011,6475,NULL,NULL,NULL
4278078,NBA,6,DAL,Mavericks,F,P.J.,Washington,1998-08-23,"6' 7""",230.0,25,Kentucky,USA,"Louisville, KY",2019,4278078,NULL,NULL,NULL
4397040,NBA,6,DAL,Mavericks,G,Brandon,Williams,1999-11-22,"6' 1""",190.0,10,Arizona,USA,"Los Angeles, CA",2023,4397040,NULL,NULL,NULL
4277848,NBA,7,DEN,Nuggets,F,Marvin,Bagley III,1999-03-14,"6' 10""",235.0,35,Duke,USA,"Phoenix, AZ",2018,4277848,NULL,NULL,NULL
4431767,NBA,7,DEN,Nuggets,G,Christian,Braun,2001-04-17,"6' 6""",220.0,0,Kansas,USA,"Burlington, KS",2023,4431767,NULL,NULL,NULL
4698719,NBA,7,DEN,Nuggets,F,Trevon,Brazile,2003-01-07,"6' 10""",220.0,NULL,Arkansas,USA,"Springfield, MO",2026,4698719,NULL,NULL,NULL
4065670,NBA,7,DEN,Nuggets,G,Bruce,Brown,1996-08-15,"6' 4""",202.0,11,Miami,USA,"Boston, MA",2018,4065670,NULL,NULL,NULL
3064290,NBA,7,DEN,Nuggets,F,Aaron,Gordon,1995-09-16,"6' 8""",235.0,32,Arizona,USA,"San Jose, CA",2014,3064290,NULL,NULL,NULL
4433607,NBA,7,DEN,Nuggets,F,DaRon,Holmes II,2002-08-15,"6' 9""",225.0,14,Dayton,USA,"Goodyear, AZ",2026,4433607,NULL,NULL,NULL
4565698,NBA,7,DEN,Nuggets,F,Bryce,Hopkins,2002-09-07,"6' 7""",220.0,NULL,St. John's,USA,"Oak Park, IL",2026,4565698,NULL,NULL,NULL
3138196,NBA,7,DEN,Nuggets,F,Cameron,Johnson,1996-03-03,"6' 8""",210.0,23,North Carolina,USA,"Moon Township, PA",2019,3138196,NULL,NULL,NULL
3112335,NBA,7,DEN,Nuggets,C,Nikola,Jokic,1995-02-19,"6' 11""",284.0,15,NULL,Serbia,Sombor,2015,3112335,NULL,NULL,NULL
4592427,NBA,7,DEN,Nuggets,F,Spencer,Jones,2001-06-14,"6' 7""",225.0,21,Stanford,USA,"Roeland Park, KS",2025,4592427,NULL,NULL,NULL
3135046,NBA,7,DEN,Nuggets,G,Tyus,Jones,1996-05-10,"6' 0""",196.0,5,Duke,USA,"Burnsville, MN",2015,3135046,NULL,NULL,NULL
3936299,NBA,7,DEN,Nuggets,G,Jamal,Murray,1997-02-23,"6' 4""",215.0,27,Kentucky,Canada,"Kitchener, ON",2016,3936299,NULL,NULL,NULL
4431690,NBA,7,DEN,Nuggets,F,Zeke,Nnaji,2001-01-09,"6' 10""",240.0,22,Arizona,USA,"Lakeville, MN",2020,4431690,NULL,NULL,NULL
4398390,NBA,7,DEN,Nuggets,G,Jalen,Pickett,1999-10-22,"6' 2""",202.0,24,Penn State,USA,"Rochester, NY",2024,4398390,NULL,NULL,NULL
4593041,NBA,7,DEN,Nuggets,F,David,Roddy,2001-03-27,"6' 4""",255.0,45,Colorado State,USA,"Minneapolis, MN",2023,4593041,NULL,NULL,NULL
4683834,NBA,7,DEN,Nuggets,G,KJ,Simpson,2002-08-08,"6' 1""",189.0,25,Colorado,USA,"West Hills, CA",2025,4683834,NULL,NULL,NULL
4432181,NBA,7,DEN,Nuggets,G,Julian,Strawther,2002-04-18,"6' 6""",205.0,3,Gonzaga,USA,"Las Vegas, NV",2024,4432181,NULL,NULL,NULL
4576087,NBA,7,DEN,Nuggets,G,Peyton,Watson,2002-09-11,"6' 8""",200.0,8,UCLA,USA,"Long Beach, CA",2023,4576087,NULL,NULL,NULL
3908845,NBA,8,DET,Pistons,F,John,Collins,1997-09-23,"6' 9""",226.0,NULL,Wake Forest,USA,"West Palm Beach, FL",2017,3908845,NULL,NULL,NULL
