Team	Pos.	No.	Name	Height	Weight	DOB (YYYY-MM-DD)	From	Heightx	xxHeight	Height
Celtics	G/F	—	Scrubb, Jay (TW)	6 ft 5 in (1.96 m)	220 lb (100 kg)	9/1/2000	John A. Logan	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Celtics	F	0	Tatum, Jayson	6 ft 8 in (2.03 m)	210 lb (95 kg)	3/3/1998	Duke	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Celtics	G/F	27	Walsh, Jordan	6 ft 7 in (2.01 m)	205 lb (93 kg)	3/3/2004	Arkansas	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Celtics	G	9	White, Derrick	6 ft 4 in (1.93 m)	190 lb (86 kg)	7/2/1994	Colorado	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Celtics	F/C	44	Williams, Robert III	6 ft 9 in (2.06 m)	237 lb (108 kg)	10/17/1997	Texas A&M	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Nets	F/C	7	Bazley, Darius	6 ft 9 in (2.06 m)	216 lb (98 kg)	6/12/2000	Princeton HS (OH)	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Nets	G/F	1	Bridges, Mikal	6 ft 6 in (1.98 m)	209 lb (95 kg)	8/30/1996	Villanova	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Nets	G	13	Brooks, Armoni (TW)	6 ft 3 in (1.91 m)	195 lb (88 kg)	6/5/1998	Houston	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Nets	F/C	33	Claxton, Nic	6 ft 11 in (2.11 m)	215 lb (98 kg)	4/17/1999	Georgia	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Nets	F	21	Clowney, Noah	6 ft 10 in (2.08 m)	210 lb (95 kg)	7/14/2004	Alabama	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Nets	G	26	Dinwiddie, Spencer	6 ft 5 in (1.96 m)	215 lb (98 kg)	4/6/1993	Colorado	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Nets	F	28	Finney-Smith, Dorian	6 ft 7 in (2.01 m)	220 lb (100 kg)	5/4/1993	Florida	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Nets	F/C	—	Giles, Harry	6 ft 11 in (2.11 m)	240 lb (109 kg)	4/22/1998	Duke	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Nets	F	2	Johnson, Cameron	6 ft 8 in (2.03 m)	210 lb (95 kg)	3/3/1996	North Carolina	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Nets	F	0	O'Neale, Royce	6 ft 6 in (1.98 m)	226 lb (103 kg)	6/5/1993	Baylor	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Nets	F/C	20	Sharpe, Day'Ron	6 ft 11 in (2.11 m)	265 lb (120 kg)	11/6/2001	North Carolina	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Nets	G/F	10	Simmons, Ben	6 ft 11 in (2.11 m)	240 lb (109 kg)	7/20/1996	LSU	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Nets	G	4	Smith, Dennis Jr.	6 ft 2 in (1.88 m)	205 lb (93 kg)	11/25/1997	NC State	6 ft 2 in (1.88 m)	6 ft 2	6' 2"
Nets	G	24	Thomas, Cam	6 ft 3 in (1.91 m)	210 lb (95 kg)	10/13/2001	LSU	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Nets	G/F	8	Walker, Lonnie IV	6 ft 4 in (1.93 m)	204 lb (93 kg)	12/14/1998	Miami (FL)	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Nets	F	9	Watford, Trendon	6 ft 8 in (2.03 m)	237 lb (108 kg)	11/9/2000	LSU	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Nets	F	0	Whitehead, Dariq	6 ft 7 in (2.01 m)	220 lb (100 kg)	8/1/2004	Duke	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Nets	F	22	Wilson, Jalen (TW)	6 ft 8 in (2.03 m)	225 lb (102 kg)	11/4/2000	Kansas	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Knicks	G/F	9	Barrett, RJ	6 ft 6 in (1.98 m)	214 lb (97 kg)	6/14/2000	Duke	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Knicks	G	—	Brown, Charlie Jr.	6 ft 6 in (1.98 m)	199 lb (90 kg)	2/2/1997	Saint Joseph's	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Knicks	G	11	Brunson, Jalen	6 ft 2 in (1.88 m)	190 lb (86 kg)	8/31/1996	Villanova	6 ft 2 in (1.88 m)	6 ft 2	6' 2"
Knicks	G	0	DiVincenzo, Donte	6 ft 4 in (1.93 m)	203 lb (92 kg)	1/31/1997	Villanova	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Knicks	G/F	13	Fournier, Evan	6 ft 6 in (1.98 m)	205 lb (93 kg)	10/29/1992	France	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Knicks	G	6	Grimes, Quentin	6 ft 5 in (1.96 m)	205 lb (93 kg)	5/8/2000	Houston	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Knicks	G	3	Hart, Josh	6 ft 4 in (1.93 m)	215 lb (98 kg)	3/6/1995	Villanova	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Knicks	F/C	55	Hartenstein, Isaiah	7 ft 0 in (2.13 m)	250 lb (113 kg)	5/5/1998	Germany	7 ft 0 in (2.13 m)	7 ft 0	7' 0"
Knicks	G/F	8	Jeffries, DaQuan	6 ft 5 in (1.96 m)	225 lb (102 kg)	8/30/1997	Tulsa	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Knicks	F/C	—	Knight, Nathan (TW)	6 ft 8 in (2.03 m)	253 lb (115 kg)	9/20/1997	William & Mary	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Knicks	G	—	Martin, Jaylen (TW)	6 ft 6 in (1.98 m)	216 lb (98 kg)	1/28/2004	Florida State University (FL)	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Knicks	G	2	McBride, Miles	6 ft 2 in (1.88 m)	200 lb (91 kg)	9/8/2000	West Virginia	6 ft 2 in (1.88 m)	6 ft 2	6' 2"
Knicks	G	5	Quickley, Immanuel 	6 ft 2 in (1.88 m)	190 lb (86 kg)	6/17/1999	Kentucky	6 ft 2 in (1.88 m)	6 ft 2	6' 2"
Knicks	F	30	Randle, Julius	6 ft 8 in (2.03 m)	250 lb (113 kg)	11/29/1994	Kentucky	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Knicks	C	23	Robinson, Mitchell	7 ft 0 in (2.13 m)	240 lb (109 kg)	4/1/1998	Chalmette HS (LA)	7 ft 0 in (2.13 m)	7 ft 0	7' 0"
Knicks	F	18	Roby, Isaiah	6 ft 8 in (2.03 m)	230 lb (104 kg)	2/3/1998	Nebraska	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Knicks	C	45	Sims, Jericho 	6 ft 9 in (2.06 m)	250 lb (113 kg)	10/20/1998	Texas	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Knicks	C	—	Skapintsev, Dmytro	7 ft 1 in (2.16 m)	215 lb (98 kg)	5/12/1998	Ukraine	7 ft 1 in (2.16 m)	7 ft 1	7' 1"
Knicks	F	—	Toppin, Jacob	6 ft 9 in (2.06 m)	204 lb (93 kg)	5/8/2000	Kentucky	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Knicks	G	44	Washington, Duane Jr.	6 ft 3 in (1.91 m)	197 lb (89 kg)	3/24/2000	Ohio State	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Knicks	G/F	—	Windler, Dylan (TW)	6 ft 6 in (1.98 m)	196 lb (89 kg)	9/22/1996	Belmont	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Sixers	C	7	Bamba, Mo	7 ft 0 in (2.13 m)	231 lb (105 kg)	5/12/1998	Texas	7 ft 0 in (2.13 m)	7 ft 0	7' 0"
Sixers	G	22	Beverley, Patrick	6 ft 1 in (1.85 m)	180 lb (82 kg)	7/12/1988	Arkansas	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
Sixers	G	—	Council, Ricky IV (TW)	6 ft 6 in (1.98 m)	205 lb (93 kg)	8/3/2001	Arkansas	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Sixers	F/C	21	Embiid, Joel	7 ft 0 in (2.13 m)	280 lb (127 kg)	3/16/1994	Kansas	7 ft 0 in (2.13 m)	7 ft 0	7' 0"
Sixers	G	1	Harden, James	6 ft 5 in (1.96 m)	220 lb (100 kg)	8/26/1989	Arizona State	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Sixers	F/C	5	Harrell, Montrezl	6 ft 7 in (2.01 m)	240 lb (109 kg)	1/26/1994	Louisville	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Sixers	F	12	Harris, Tobias	6 ft 8 in (2.03 m)	226 lb (103 kg)	7/15/1992	Tennessee	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Sixers	F	25	House, Danuel	6 ft 6 in (1.98 m)	220 lb (100 kg)	6/7/1993	Texas A&M	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Sixers	G/F	30	Korkmaz, Furkan	6 ft 7 in (2.01 m)	202 lb (92 kg)	7/24/1997	Turkey	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Sixers	G	0	Maxey, Tyrese	6 ft 2 in (1.88 m)	200 lb (91 kg)	10/4/2000	Kentucky	6 ft 2 in (1.88 m)	6 ft 2	6' 2"
Sixers	G	8	Melton, De'Anthony	6 ft 2 in (1.88 m)	200 lb (91 kg)	5/28/1998	USC	6 ft 2 in (1.88 m)	6 ft 2	6' 2"
Sixers	F/C	—	Petrušev, Filip	6 ft 11 in (2.11 m)	234 lb (106 kg)	4/15/2000	Gonzaga	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Sixers	F/C	44	Reed, Paul	6 ft 9 in (2.06 m)	210 lb (95 kg)	6/26/1999	DePaul	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Sixers	G	—	Smart, Javonte	6 ft 4 in (1.93 m)	205 lb (93 kg)	6/3/1999	LSU	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Sixers	G	—	Smith, Terquavion (TW)	6 ft 4 in (1.93 m)	195 lb (88 kg)	12/31/2002	NC State	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Sixers	G	11	Springer, Jaden	6 ft 3 in (1.91 m)	202 lb (92 kg)	9/25/2002	Tennessee	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Sixers	F	—	Tubelis, Ąžuolas (TW)	6 ft 11 in (2.11 m)	245 lb (111 kg)	3/22/2002	Arizona	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Sixers	F	17	Tucker, P. J.	6 ft 5 in (1.96 m)	245 lb (111 kg)	5/5/1985	Texas	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Rapters	F/C	5	Achiuwa, Precious	6 ft 9 in (2.06 m)	225 lb (102 kg)	9/19/1999	Memphis	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Rapters	F	3	Anunoby, O.G.	6 ft 7 in (2.01 m)	232 lb (105 kg)	7/17/1997	Indiana	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Rapters	F	4	Barnes, Scottie	6 ft 8 in (2.03 m)	225 lb (102 kg)	8/1/2001	Florida State	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Rapters	F/C	25	Boucher, Chris	6 ft 9 in (2.06 m)	215 lb (98 kg)	1/11/1993	Oregon	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Rapters	G/F	1	Dick, Gradey	6 ft 7 in (2.01 m)	205 lb (93 kg)	11/20/2003	Kansas	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Rapters	G	20	Dowtin, Jeff	6 ft 3 in (1.91 m)	177 lb (80 kg)	5/7/1997	Rhode Island	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Rapters	G	22	Flynn, Malachi	6 ft 1 in (1.85 m)	175 lb (79 kg)	5/10/1998	San Diego State	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
Rapters	G	0	Freeman-Liberty, Javon (TW)	6 ft 4 in (1.93 m)	180 lb (82 kg)	10/20/1999	DePaul	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Rapters	F	—	Gueye, Mouhamadou	6 ft 9 in (2.06 m)	210 lb (95 kg)	7/8/1998	Pittsburgh	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Rapters	F	8	Harper, Ron Jr. (TW)	6 ft 7 in (2.01 m)	245 lb (111 kg)	4/12/2000	Rutgers	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Rapters	C	35	Koloko, Christian	7 ft 0 in (2.13 m)	230 lb (104 kg)	6/20/2000	Arizona	7 ft 0 in (2.13 m)	7 ft 0	7' 0"
Rapters	F	2	McDaniels, Jalen	6 ft 9 in (2.06 m)	205 lb (93 kg)	1/31/1998	San Diego State	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Rapters	G	24	Nowell, Markquis (TW)	5 ft 8 in (1.73 m)	160 lb (73 kg)	12/25/1999	Kansas State	5 ft 8 in (1.73 m)	5 ft 8	5' 8"
Rapters	F	—	Obanor, Kevin	6 ft 8 in (2.03 m)	235 lb (107 kg)	6/12/1999	Texas Tech	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Rapters	F	32	Porter, Otto Jr.	6 ft 8 in (2.03 m)	198 lb (90 kg)	6/3/1993	Georgetown	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Rapters	C	19	Pöltl, Jakob	7 ft 1 in (2.16 m)	245 lb (111 kg)	10/15/1995	Utah	7 ft 1 in (2.16 m)	7 ft 1	7' 1"
Rapters	G	17	Schröder, Dennis	6 ft 1 in (1.85 m)	172 lb (78 kg)	9/15/1993	Germany	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
Rapters	F	43	Siakam, Pascal	6 ft 9 in (2.06 m)	230 lb (104 kg)	4/2/1994	New Mexico State	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Rapters	G/F	—	Temple, Garrett	6 ft 6 in (1.98 m)	195 lb (88 kg)	5/8/1986	LSU	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Rapters	G	33	Trent, Gary Jr.	6 ft 5 in (1.96 m)	209 lb (95 kg)	1/18/1999	Duke	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Rapters	F/C	21	Young, Thaddeus	6 ft 9 in (2.06 m)	235 lb (107 kg)	6/21/1988	Georgia Tech	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Bulls	G	2	Ball, Lonzo 	6 ft 6 in (1.98 m)	190 lb (86 kg)	10/27/1997	UCLA	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Bulls	F	—	Bitim, Onuralp (TW)	6 ft 6 in (1.98 m)	215 lb (98 kg)	3/31/1999	Huntington Prep (WV)	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Bulls	G	5	Carter, Jevon	6 ft 1 in (1.85 m)	200 lb (91 kg)	9/14/1995	West Virginia	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
Bulls	G	6	Caruso, Alex	6 ft 5 in (1.96 m)	186 lb (84 kg)	2/28/1994	Texas A&M	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Bulls	F	—	Craig, Torrey	6 ft 7 in (2.01 m)	221 lb (100 kg)	12/19/1990	USC Upstate	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Bulls	F	11	DeRozan, DeMar	6 ft 6 in (1.98 m)	220 lb (100 kg)	8/7/1989	USC	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Bulls	G	12	Dosunmu, Ayo	6 ft 4 in (1.93 m)	200 lb (91 kg)	1/17/2000	Illinois	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Bulls	C	3	Drummond, Andre	6 ft 11 in (2.11 m)	279 lb (127 kg)	8/10/1993	Connecticut	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Bulls	G	—	Heidegger, Max	6 ft 3 in (1.91 m)	180 lb (82 kg)	6/5/1997	UC Santa Barbara	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Bulls	G	—	Jackson, Quenton	6 ft 5 in (1.96 m)	173 lb (78 kg)	9/15/1998	Texas A&M	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Bulls	G	22	Jones, Carlik	6 ft 0 in (1.83 m)	174 lb (79 kg)	12/23/1997	Louisville	6 ft 0 in (1.83 m)	6 ft 0	6' 0"
Bulls	G/F	8	LaVine, Zach	6 ft 5 in (1.96 m)	200 lb (91 kg)	3/10/1995	UCLA	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Bulls	F	13	Phillips, Julian	6 ft 8 in (2.03 m)	198 lb (90 kg)	11/5/2003	Tennessee	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Bulls	F	—	Sanogo, Adama (TW)	6 ft 9 in (2.06 m)	245 lb (111 kg)	2/12/2002	Connecticut	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Bulls	F	32	Taylor, Terry	6 ft 5 in (1.96 m)	230 lb (104 kg)	9/23/1999	Austin Peay	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Bulls	G/F	25	Terry, Dalen	6 ft 7 in (2.01 m)	195 lb (88 kg)	7/12/2002	Arizona	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Bulls	C	9	Vučević, Nikola	6 ft 10 in (2.08 m)	260 lb (118 kg)	10/24/1990	USC	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Bulls	G	0	White, Coby	6 ft 5 in (1.96 m)	195 lb (88 kg)	2/16/2000	North Carolina	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Bulls	F	44	Williams, Patrick	6 ft 7 in (2.01 m)	215 lb (98 kg)	8/26/2001	Florida State	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Cavaliers	C	31	Allen, Jarrett	6 ft 9 in (2.06 m)	243 lb (110 kg)	4/21/1998	Texas	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Cavaliers	G/F	21	Bates, Emoni (TW)	6 ft 9 in (2.06 m)	190 lb (86 kg)	1/28/2004	Eastern Michigan	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Cavaliers	G	10	Garland, Darius	6 ft 1 in (1.85 m)	192 lb (87 kg)	1/26/2000	Vanderbilt	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
Cavaliers	G	2	Jerome, Ty	6 ft 5 in (1.96 m)	195 lb (88 kg)	7/8/1997	Virginia	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Cavaliers	C	30	Jones, Damian	6 ft 11 in (2.11 m)	245 lb (111 kg)	6/30/1995	Vanderbilt	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Cavaliers	G/F	3	LeVert, Caris	6 ft 6 in (1.98 m)	205 lb (93 kg)	8/25/1994	Michigan	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Cavaliers	G	5	Merrill, Sam	6 ft 4 in (1.93 m)	205 lb (93 kg)	5/15/1996	Utah State	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Cavaliers	G	45	Mitchell, Donovan	6 ft 1 in (1.85 m)	215 lb (98 kg)	9/7/1996	Louisville	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
Cavaliers	F/C	4	Mobley, Evan	6 ft 11 in (2.11 m)	215 lb (98 kg)	6/18/2001	USC	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Cavaliers	F	15	Mobley, Isaiah (TW)	6 ft 8 in (2.03 m)	238 lb (108 kg)	9/24/1999	USC	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Cavaliers	F	20	Niang, Georges	6 ft 7 in (2.01 m)	230 lb (104 kg)	6/17/1993	Iowa State	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Cavaliers	G/F	35	Okoro, Isaac	6 ft 5 in (1.96 m)	225 lb (102 kg)	1/26/2001	Auburn	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Cavaliers	G	40	Porter, Craig Jr. (TW)	6 ft 2 in (1.88 m)	186 lb (84 kg)	2/26/2000	Wichita State	6 ft 2 in (1.88 m)	6 ft 2	6' 2"
Cavaliers	G	13	Rubio, Ricky	6 ft 3 in (1.91 m)	190 lb (86 kg)	10/21/1990	Spain	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Cavaliers	G/F	1	Strus, Max	6 ft 5 in (1.96 m)	215 lb (98 kg)	3/28/1996	DePaul	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Cavaliers	F	32	Wade, Dean	6 ft 9 in (2.06 m)	228 lb (103 kg)	11/20/1996	Kansas State	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Pistons	F/C	35	Bagley, Marvin III	6 ft 10 in (2.08 m)	235 lb (107 kg)	3/14/1999	Duke	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Pistons	F	44	Bogdanović, Bojan	6 ft 7 in (2.01 m)	226 lb (103 kg)	4/18/1989	Croatia	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Pistons	G/F	—	Burks, Alec	6 ft 6 in (1.98 m)	214 lb (97 kg)	7/20/1991	Colorado	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Pistons	G	20	Cazalon, Malcolm (TW)	6 ft 6 in (1.98 m)	212 lb (96 kg)	8/27/2001	France	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Pistons	G	2	Cunningham, Cade	6 ft 6 in (1.98 m)	220 lb (100 kg)	9/25/2001	Oklahoma State	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Pistons	C	0	Duren, Jalen	6 ft 11 in (2.11 m)	250 lb (113 kg)	11/18/2003	Memphis	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Pistons	G/F	31	Harris, Joe	6 ft 6 in (1.98 m)	220 lb (100 kg)	9/6/1991	Virginia	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Pistons	G	7	Hayes, Killian	6 ft 5 in (1.96 m)	195 lb (88 kg)	7/27/2001	France	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Pistons	G	23	Ivey, Jaden	6 ft 4 in (1.93 m)	195 lb (88 kg)	2/13/2002	Purdue	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Pistons	F	12	Livers, Isaiah	6 ft 6 in (1.98 m)	232 lb (105 kg)	7/28/1998	Michigan	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Pistons	G	5	Morris, Monté	6 ft 2 in (1.88 m)	183 lb (83 kg)	6/27/1995	Iowa State	6 ft 2 in (1.88 m)	6 ft 2	6' 2"
Pistons	G/F	8	Rhoden, Jared (TW)	6 ft 6 in (1.98 m)	210 lb (95 kg)	8/27/1999	Seton Hall	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Pistons	G	25	Sasser, Marcus	6 ft 2 in (1.88 m)	195 lb (88 kg)	9/21/2000	Houston	6 ft 2 in (1.88 m)	6 ft 2	6' 2"
Pistons	F/C	28	Stewart, Isaiah	6 ft 8 in (2.03 m)	250 lb (113 kg)	5/22/2001	Washington	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Pistons	G/F	9	Thompson, Ausar	6 ft 7 in (2.01 m)	205 lb (93 kg)	1/30/2003	Pine Crest (FL)	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Pistons	C	13	Wiseman, James	7 ft 0 in (2.13 m)	240 lb (109 kg)	3/31/2001	Memphis	7 ft 0 in (2.13 m)	7 ft 0	7' 0"
Pacers	G	11	Brown, Bruce	6 ft 4 in (1.93 m)	202 lb (92 kg)	8/15/1996	Miami (FL)	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Pacers	G	0	Haliburton, Tyrese	6 ft 5 in (1.96 m)	185 lb (84 kg)	2/29/2000	Iowa State	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Pacers	G	24	Hield, Buddy	6 ft 4 in (1.93 m)	220 lb (100 kg)	12/17/1992	Oklahoma	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Pacers	F	22	Jackson, Isaiah	6 ft 10 in (2.08 m)	205 lb (93 kg)	1/10/2002	Kentucky	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Pacers	G	8	King, Mojave (DP)	6 ft 5 in (1.96 m)	195 lb (88 kg)	6/11/2002	New Zealand	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Pacers	G/F	0	Mathurin, Bennedict	6 ft 6 in (1.98 m)	210 lb (95 kg)	6/19/2002	Arizona	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Pacers	G/F	10	Brown, Kendall (TW)	6 ft 7 in (2.01 m)	205 lb (93 kg)	5/11/2003	Baylor	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Pacers	G	9	McConnell, T. J.	6 ft 1 in (1.85 m)	190 lb (86 kg)	3/25/1992	Arizona	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
Pacers	G	2	Nembhard, Andrew	6 ft 3 in (1.91 m)	191 lb (87 kg)	1/16/2000	Gonzaga	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Pacers	G/F	23	Nesmith, Aaron	6 ft 5 in (1.96 m)	215 lb (98 kg)	10/16/1999	Vanderbilt	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Pacers	F	13	Nwora, Jordan	6 ft 9 in (2.06 m)	225 lb (102 kg)	9/9/1998	Louisville	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
